"term","definition","contextual_explanation"
"Candida albicans","Levure du genre Candida, agent des infections cutanéomuqueuses superficielles.","Dans le document, c’est le pathogène responsable des candidoses cutanées, des intertrigos, onyxis, muguet, vulvo-vaginites, etc. Il est commensal du tube digestif et des muqueuses, devenant pathogène dans certaines conditions."
"Candidose cutanéomuqueuse","Infection superficielle à Candida albicans touchant la peau et les muqueuses.","Survient même chez les sujets en bonne santé, sur les surfaces humides occluses (plis, muqueuse génitale, tractus digestif)."
"Intertrigo candidosique","Candidose des plis.","Forme très fréquente touchant les grands plis (inguinaux, interfessiers) avec pustules sur base érythémateuse, lésion rouge vernissée, suintante, prurit, collerette desquamative et pustules périphériques. Peut aussi toucher les petits plis interdigitaux (4e espace plantaire, 3e espace palmaire)."
"Onyxis (onyxix)","Atteinte de l’ongle par Candida.","Se manifeste par une coloration brun verdâtre du bord proximal ou des bords latéraux de l’ongle."
"Péri-onyxis","Inflammation du bourrelet péri-unguéal.","Dans la candidose, le bourrelet est douloureux, inflammatoire, avec du pus à la pression."
"Vulvo-vaginite candidosique","Infection candidosique de la vulve et du vagin.","Signes : prurit, brûlure, dyspareunie, leucorrhée abondante blanchâtre caillebottée, muqueuse érythémato-œdémateuse avec enduit blanchâtre."
"Anite candidosique","Candidose de l’anus.","Se manifeste par un prurit, brûlure, érythème, fissures, intertrigo interfessier."
"Muguet","Stomatite à Candida albicans.","Sensation de cuisson et sécheresse localisée, muqueuse érythémateuse, sécheresse vernissée, dépôts blanchâtres crémeux sur la langue et face interne des joues."
"Leucorrhée caillebottée","Pertes blanches épaisses rappelant du lait caillé.","Signe caractéristique de la vulvo-vaginite candidosique."
"Examen direct mycologique","Observation microscopique d’un prélèvement (écouvillonnage, grattage, découpage d’ongle).","Met en évidence des levures bourgeonnantes et des pseudo-filaments pour le diagnostic de candidose."
"Milieu de Sabouraud","Milieu de culture spécifique pour les champignons.","Permet la culture de Candida albicans avec apparition de colonies blanchâtres en 24-48 heures, puis identification et antifongigramme."
"Dermatophyties","Infections fongiques par des dermatophytes (champignons filamentous).","Diagnostic différentiel des atteintes de plis candidosiques."
"Intertrigo bactérien","Infection bactérienne des plis, souvent à streptocoque.","Diagnostic différentiel des intertrigos candidosiques."
"Psoriasis inversé","Forme de psoriasis touchant les plis (axillaires, inguinaux, sous-mammaires).","Diagnostic différentiel des atteintes de plis."
"Erythrasma","Infection cutanée superficielle à Corynebacterium minutissimum, donnant des plaques brunes dans les plis.","Diagnostic différentiel des atteintes de plis."
"Leucoplasie orale chevelue","Lésion blanche de la muqueuse buccale, souvent associée au VIH.","Diagnostic différentiel du muguet."
"Langue géographique","Affection bénigne de la langue avec plaques rouges bordées de blanc.","Diagnostic différentiel du muguet."
"Trichomoniase","Infection génitale à Trichomonas vaginalis.","Diagnostic différentiel des atteintes génitales : leucorrhée verdâtre avec odeur de poisson pourri."
"Vaginose bactérienne","Déséquilibre de la flore vaginale sans inflammation.","Diagnostic différentiel des vulvo-vaginites candidosiques."
"Antifongiques topiques","Médicaments antifongiques appliqués localement.","Traitement de première intention des candidoses cutanées."
"Fluconazole","Antifongique de la famille des triazolés, par voie générale.","Utilisé dans le traitement des candidoses (voie générale)."
"Nystatine","Antifongique polyénique.","Mentionné comme antifongique par voie générale."
"Terbinafine","Antifongique allylamine.","Mentionné comme antifongique par voie générale."
"Antifongigramme","Test de sensibilité d’un champignon aux antifongiques.","Réalisé après culture sur Sabouraud pour guider le traitement."
"Xérostomie","Sécheresse buccale.","Facteur favorisant local des candidoses."
"Iatrogénie","Effet indésirable lié aux soins ou aux médicaments.","Dans le document : antibiotiques, corticothérapie, œstroprogestatifs favorisent la candidose."