"Numéro","Question","Réponse","Difficulté"
"1","Donnez la définition de l''atrésie selon le document.","Interruption de la continuité d''un organe creux.","Facile"
"2","Quels sont les deux types de présentation anatomique de l''atrésie de l''œsophage (introduction) ?","Soit 2 culs de sac borgnes, soit 1 ou 2 culs de sac fistulisés dans les voies aériennes.","Facile"
"3","Entre quelles semaines d''aménorrhée survient le trouble de l''embryogenèse ?","Entre la 4ème et la 6ème SA.","Facile"
"4","Citez les six composantes du syndrome de VACTERL.","Vertébral, Anorectal, Cardiaque, Trachéo-oesophagien, Rénal, Limb (membres).","Facile"
"5","À quelle distance la sonde gastro-œsophagienne bute-t-elle dans l''atrésie ?","À 10-12 cm de l''arcade alvéolaire (future arcade dentaire).","Facile"
"6","Quelle est la voie d''abord chirurgicale recommandée ?","Thoracotomie droite en extra-pleurale.","Facile"
"7","Quel est le pronostic de l''atrésie isolée de l''œsophage ?","Excellent dans 90% des cas.","Facile"
"8","Quel geste radiologique est formellement proscrit et pourquoi ?","L''opacification du cul de sac supérieur, car elle entraînerait une inondation broncho-alvéolaire.","Facile"
"9","Quelles sont les trois séquelles possibles après anastomose œsophagienne ?","Trachéomalacie, dyskinésie œsophagienne, reflux gastro-œsophagien.","Facile"
"10","Quels sont les trois signes indirects anténatals de l''atrésie de l''œsophage ?","Hydramnios, absence de visualisation de l''œsophage, découverte d''une polymalformation.","Facile"
"11","Quelle est la conséquence du type 3 sur l''abdomen ?","Abdomen anormalement trop aéré (estomac et intestin), car le bébé ""respire dans l''estomac"" par la fistule.","Moyen"
"12","Que doit-on faire théoriquement sans attendre les signes cliniques ?","Passer systématiquement une sonde gastro-œsophagienne ni trop fine, ni trop molle.","Moyen"
"13","Quel est l''effet de l''injection de 2 cc d''air dans la sonde lors de la radiographie ?","Elle permet de visualiser le fond du cul de sac supérieur et d''affirmer son caractère borgne.","Moyen"
"14","Que signifie la présence d''une aération digestive sur l''ASP ?","Elle est en faveur d''une forme avec fistule du cul de sac inférieur dans les voies aériennes.","Moyen"
"15","Quelles sont les mesures immédiates de conditionnement du bébé après diagnostic ?","Arrêt de toute alimentation orale, position orthostatique ou demi-assise, garder la SNG avec aspiration, voie veineuse, réchauffer, acheminer vers centre chirurgical pédiatrique.","Moyen"
"16","Quel est le risque spécifique lié à la position allongée chez un bébé avec fistule de type 3 ?","Risque de passage du contenu du suc gastrique vers la trachée.","Moyen"
"17","Que faire si l''anastomose est impossible en raison d''un écart trop important ?","Repousser la réparation de quelques semaines sous couvert d''une gastrostomie et jéjunostomie d''alimentation.","Moyen"
"18","Quelles sont les deux complications post-opératoires citées en fin de document ?","Fistules et sténoses.","Moyen"
"19","Décrivez le type II de la classification de Ladd et Gross.","Fistule du cul de sac proximal dans la trachée.","Moyen"
"20","Décrivez le type IV de la classification de Ladd et Gross.","Fistule du cul de sac distal dans la carène ou bronche souche.","Moyen"
"21","Pourquoi l''hydramnios est-il présent dans l''atrésie de l''œsophage ?","Parce que le bébé n''avale pas le liquide amniotique, d''où une accumulation excessive de liquide.","Moyen"
"22","Quel est le risque lorsque le cul de sac proximal est plein ?","Risque d''inhalation.","Moyen"
"23","Quelles sont les séquelles possibles après traction sur l''œsophage distal lors de l''anastomose ?","Portion très courte de l''œsophage sous diaphragmatique, reflux gastro-œsophagien (RGO), trachéomalacie.","Difficile"
"24","Que signifie l''expression ""abdomen totalement opaque"" dans les formes sans fistule ?","Absence d''air dans le tube digestif (traduction malgache : ""tsy misy rivotra mandeha"").","Difficile"
"25","Quel est le type V de la classification Ladd et Gross ?","Fistule des deux culs de sac dans la trachée.","Difficile"
"26","Quel est le mécanisme expliquant le taux élevé de malformations associées ?","Le trouble de l''embryogenèse survient entre la 4ème et la 6ème SA, période critique pour le développement de plusieurs organes.","Difficile"
"27","Quel type de sonde est recommandé pour l''aspiration naso-œsophagienne et pourquoi ?","Une sonde à double courant, si possible, pour une aspiration efficace.","Difficile"
"28","Quels sont les signes cliniques à évoquer devant une atrésie de l''œsophage à la naissance ?","Hydramnios (antécédent), hypersialorrhée, détresse respiratoire inexpliquée, fausse route dès la première têtée.","Difficile"
"29","Quelle est la différence entre le type III et le type IV selon Ladd et Gross ?","Type III : fistule du cul de sac distal dans la trachée ; Type IV : fistule du cul de sac distal dans la carène ou bronche souche.","Difficile"