"question_id","question","option_a","option_b","option_c","option_d","correct_answer"
"HING-01","Quelle est la cause principale de l'hernnie inguinale chez le nourrisson ?","Non fermeture du canal périnéo-vésical","Hypertonie du sphincter anal","Malformation cardiaque","Hydrocèle","A"
"HING-02","Quel signe distingue une hernie inguinale réductible d'une hernie étranglée ?","Douleur et non réductibilité","Impulsivité à la toux","Transillumination négative","Présence d'une masse","A"
"HING-03","Quel est le risque vital associé à une hernie inguinale étranglée non traitée ?","Nécrose intestinale","Infection urinaire","Hydrocèle","Atrophie testiculaire","A"
"HING-04","Quelle intervention est recommandée pour une hernie inguinale non compliquée ?","Chirurgie programmée","Bandage herniaire","Observation seule","Massage doux","A"
"HING-05","À quel âge l'incidence d'étranglement de la hernie est la plus élevée ?","Avant 6 mois","Entre 6 et 12 mois","Après 1 an","Après 2 ans","A"
"HING-06","Quel examen paraclinique est parfois indiqué pour différencier une hernie d'un kyste du cordon ?","Échographie","Radiographie thoracique","IRM abdominale","pHmétrie","A"
"HING-07","Quel signe clinique décrit le mieux une hernie inguinale réductible ?","Voussure impulsive et non douloureuse","Masse ferme et non mobile","Transillumination positive","Douleur constante","A"
"HING-08","Quelle complication fonctionnelle peut survenir en cas d’étranglement prolongé ?","Nécrose testiculaire","Infection urinaire","Hydrocèle","Sténose pylorique","A"
"HING-09","Quelle est la première mesure en cas de hernie étranglée sans occlusion ni péritonite ?","Réduction médicale assistée","Chirurgie immédiate","Observation seule","Bandage herniaire","A"
"HING-10","Quel protocole est utilisé pour la réduction médicale assistée ?","Sédation, glace, chambre calme","Antibiotiques","Massage abdominal","Bandage herniaire","A"