"question_id","question","answer"
"HING-TF-01","L'hernier inguinale est toujours douloureuse.","False"
"HING-TF-02","La transillumination d'une hernie inguinale est négative.","True"
"HING-TF-03","L'étranglement herniaire survient le plus souvent après 2 ans.","False"
"HING-TF-04","La chirurgie est indiquée même pour une hernie inguinale non compliquée.","True"
"HING-TF-05","Un bandage herniaire est recommandé pour réduire la hernie.","False"
"HING-TF-06","Le risque vital de l'hernier étranglée est la nécrose intestinale.","True"
"HING-TF-07","La réduction médicale assistée inclut sédation et glace sur la région.","True"
"HING-TF-08","Une hydrocèle peut être confondue avec une hernie inguinale.","True"
"HING-TF-09","L'échographie est systématiquement indispensable pour le diagnostic.","False"
"HING-TF-10","La compression des vaisseaux testiculaires est un risque fonctionnel.","True"