question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition de l’épistaxis ?","Hémorragie d’origine digestive extériorisée par la bouche","Hémorragie d’origine pulmonaire extériorisée par la bouche","Hémorragie d’origine nasale extériorisée par le nez ou la bouche","Hémorragie d’origine pharyngée","3","Selon le document, l’épistaxis est une hémorragie d’origine nasale extériorisée par le nez ou par la bouche.","Easy"
"Quel est le pourcentage de cas où le saignement provient de la tâche vasculaire au niveau de la cloison nasale ?","50%","65%","75%","85%","3","Le document indique : Dans 75% des cas : saignement de la tâche vasculaire, au niveau du cloison nasal (existe sur les 2 côtés).","Easy"
"Quelle artère est l’artère principale de la cavité nasale ?","Artère faciale","Artère ophtalmique","Artère sphénopalatine","Artère maxillaire interne","3","Le document précise : Artère principale de la cavité nasale : artère sphénopalatine.","Easy"
"Le premier geste à effectuer lors de la rhinoscopie antérieure après avoir installé le patient est :","L’application de xylocaïne naphazolinée","La prise de la tension artérielle","Le mouchage pour évacuer les caillots","L’examen endoscopique","3","Le document indique : Après mouchage : évacue les caillots (1er geste à effectuer).","Easy"
"Quel produit provoque une rétraction muqueuse, un effet anesthésique et hémostatique ?","Adrénaline","Xylocaïne naphazolinée 5%","Sérum physiologique","Eau oxygénée","2","Le document précise : Après rétraction muqueuse : xylocaïne naphazolinée 5% (xylo napha entraîne une rétraction muqueuse, pouvoir anesthésique et hémostatique).","Easy"
"L’épistaxis bénigne est caractérisée par :","Une abondance importante et bilatérale","Un écoulement postérieur abondant","Une abondance minime en goutte à goutte, unilatérale","Un retentissement sur l’état général","3","Le document indique : Epistaxis bénigne : Unilatérale, Abondance minime : en goutte à goutte, Aucun retentissement sur l’état général.","Easy"
"Dans l’épistaxis maligne par répétition, l’écoulement postérieur est décrit comme :","À bas bruit","À haut débit pulsatile","Unilatéral","Associé à une fièvre élevée","1","Le document précise : Persistante : écoulement postérieur à bas bruit.","Easy"
"Quel est le premier geste d’urgence pour arrêter l’hémorragie ?","Perfusion de macromolécules","Transfusion sanguine","Tamponnement immédiat","Prélèvement pour groupage","3","Le document indique : Arrêter l’hémorragie : tamponnement immédiat.","Easy"
"Le fibrome nasopharyngé touche surtout :","Les femmes de plus de 50 ans","Les adolescents de 12-13 ans à prédominance masculine","Les enfants de moins de 5 ans","Les sujets âgés des deux sexes","2","Le document précise : Fibrome nasopharyngé (surtout ado, 12 ans - 13 ans, prédominance masculine, très hémorragique).","Easy"
"Parmi les causes locales d’épistaxis, laquelle est classée comme traumatique chirurgicale ?","Fracture de la base du crâne","Intubation nasotrachéale","Rhinosinusite aiguë","Granulome malin de la face","2","Le document indique dans les épistaxis d’origine locale traumatiques chirurgicales : Intubation nasotrachéale, Chirurgie rhinosinusienne.","Easy"
"Quel traitement anticoagulant est cité comme cause fréquente d’épistaxis par surdosage chez le sujet âgé ?","Aucun anticoagulant n’est mentionné","Traitement anticoagulant de façon générale","Héparine uniquement","Antivitamines K uniquement","2","Le document indique : Traitement anticoagulant : cause fréquente d’épistaxis par surdosage (surtout le sujet âgé).","Easy"
"L’épistaxis essentielle est :","Une épistaxis d’origine générale","Une épistaxis d’origine locale","Un diagnostic d’élimination","Une urgence médico-chirurgicale","3","Le document précise : Epistaxis essentielle : Epistaxis maladie. Ne doit être qu’un diagnostic d’élimination.","Easy"
"La compression bidigitale pour arrêter une épistaxis doit durer :","1-2 minutes","5-10 minutes","15-20 minutes","30 minutes","2","Le document indique dans l’escalade thérapeutique : Compression bidigitale (5-10mn).","Easy"
"Quel est le seuil d’hémoglobine chez l’adulte nécessitant une transfusion sanguine selon le document ?","Hb < 6 g/dL","Hb < 8 g/dL","Hb < 10 g/dL","Hb < 12 g/dL","2","Le document précise : Transfusion sanguine (en fonction de la déperdition sanguine) (chez l’adulte : Hb < 8g/dl).","Easy"
"La rhinoscopie antérieure nécessite quel type d’éclairage ?","Un éclairage faible","Un éclairage moyen","Un bon éclairage","Un éclairage avec lampe de Wood","3","Le document indique : Rhinoscopie antérieure : Bon éclairage.","Easy"
"Le saignement de la tâche vasculaire siège au niveau :","Du cornet inférieur","Du cornet moyen","De la cloison nasale","Du cavum","3","Le document indique : Dans 75% des cas : saignement de la tâche vasculaire, au niveau du cloison nasal (existe sur les 2 côtés).","Easy"
"Quelle est la voie d’extériorisation possible d’une épistaxis ?","Par le nez uniquement","Par la bouche uniquement","Par le nez ou par la bouche","Par les yeux","3","Le document indique : Hémorragie d’origine nasale extériorisée par le nez ou par la bouche.","Easy"
"L’épistaxis est considérée comme :","L’urgence neurologique la plus fréquente","L’urgence ORL la plus fréquente","L’urgence cardiologique la plus fréquente","L’urgence pédiatrique la plus fréquente","2","Le document précise : Urgence ORL la plus fréquente.","Easy"
"Dans l’épistaxis bénigne, la rhinoscopie postérieure montre :","Un écoulement sanglant postérieur abondant","Une tumeur maligne","Pas d’écoulement sanglant postérieur","Une déviation de la cloison","3","Le document indique : Rhinoscopie postérieure : pas d’écoulement sanglant postérieur.","Easy"
"Le tamponnement antérieur (méchage antérieur) doit être maintenu au moins :","12 heures","24 heures","48 heures","72 heures","3","Le document précise : Rehefa misy ny mêche dia misy ny contre mêche : bilatéral, au moins 48h avec couverture antibiotique.","Easy"
"La maladie de Rendu-Osler est classée comme :","Une maladie hémorragique par perturbation du temps vasculaire","Une maladie hémorragique par perturbation plaquettaire","Une maladie hémorragique par perturbation de la coagulation","Une maladie métabolique","1","Le document indique dans les maladies hémorragiques par perturbation du temps vasculaire : Maladie de Rendu-OSLER ou angiomatose hémorragique familiale.","Easy"
"Parmi les causes générales d’épistaxis, laquelle est une maladie infectieuse ?","Diabète","HTA","Grippe","Cirrhose","3","Le document indique dans les maladies infectieuses : typhoïde, scarlatine, grippe.","Easy"
"Quel examen permet un bilan précis des fosses nasales selon le document ?","Radiographie du crâne","Scanner des sinus","Nasofibroscopie (examen endoscopique)","IRM cérébrale","3","Le document indique : Examen endoscopique (nasofibroscopie, non obligatoire) : bilan précis.","Easy"
"L’hémoptysie se distingue de l’épistaxis par :","La provenance de l’arbre respiratoire avec des efforts de toux","La provenance digestive avec des vomissements","La provenance nasale sans effort","La provenance ORL","1","Le document indique : Hémoptysie : Hémorragie qui provient de l’arbre respiratoire ; Au cours des efforts de toux.","Easy"
"Le purpura thrombopénique est une épistaxis d’origine générale par perturbation :","Du temps vasculaire","Du temps plaquettaire","Du temps de coagulation","Du temps fibrinolytique","2","Le document indique dans les épistaxis d’origine générale, par perturbation du temps plaquettaire : Purpura thrombopénique, Purpura thrombopathique.","Easy"
"Quel facteur endocrinien est cité comme facteur favorisant l’épistaxis essentielle ?","Ménopause","Puberté","Prémenstruelle","Andropause","3","Le document indique dans les facteurs favorisants de l’épistaxis essentielle : Facteurs endocriniens (prémenstruelle, grossesse).","Easy"
"L’angiofibrome de la cloison est classé comme :","Une tumeur maligne","Une tumeur bénigne","Une maladie hémorragique","Une maladie infectieuse","2","Le document indique dans les tumeurs bénignes : Angiofibrome de la cloison.","Easy"
"La ligature artérielle dans le traitement de l’épistaxis concerne :","L’artère sphénopalatine","L’artère faciale","La carotide externe (rare)","La carotide interne","3","Le document indique dans l’escalade thérapeutique : Ligature artérielle (carotide externe, rare).","Easy"
"L’épistaxis est qualifiée d’urgence :","Médicale uniquement","Chirurgicale uniquement","Médico-chirurgicale","Psychiatrique","3","Le document indique : Urgence médico-chirurgicale.","Easy"
"La recherche des étiologies de l’épistaxis doit se faire :","En urgence avant tout geste","En dehors de la grande urgence","Après la sortie du patient","Jamais car c’est toujours bénin","2","Le document précise : Rechercher les étiologies en dehors de la grande urgence.","Easy"
"Quelle est la première étape de l’escalade thérapeutique ?","Tamponnement postérieur","Embolisation sélective","Compression bidigitale","Coagulation de la sphénopalatine","3","Le document indique dans l’escalade thérapeutique : 1. Compression bidigitale (5-10mn), 2. Tamponnement antérieur.","Medium"
"Pourquoi l’épistaxis par répétition est-elle considérée comme grave ?","Parce qu’elle est toujours abondante","Parce que de petits saignements répétés équivalent à un grand saignement","Parce qu’elle provoque une douleur intense","Parce qu’elle est toujours postérieure","2","Le document indique : Répétition (petit saignement à répétition → équivalent d’un grand saignement !!).","Medium"
"Dans l’épistaxis maligne abondante, pourquoi l’épistaxis devient-elle souvent bilatérale ?","Parce que les deux artères sphénopalatines saignent simultanément","Parce que le sang envahit les deux fosses nasales par l’arrière","Parce que le patient se mouche des deux côtés","Parce que la coagulation est défaillante","2","Le document indique : Hémorragie importante : souvent bilatérale, Epistaxis antérieur et postérieur. L’abondance fait déborder le sang vers la fosse controlatérale.","Medium"
"Quel est le mécanisme expliquant que les vomissements de caillots puissent faire évoquer à tort une hématémèse ?","Les caillots sont digérés par le suc gastrique","Le sang dégluti pendant l’épistaxis postérieure irrite l’estomac et est vomi","Le patient confond toujours nez et bouche","L’hématémèse est toujours associée à l’épistaxis","2","Le document indique : Peut vomir des caillots de sang faisant évoquer à tort une hématémèse. Le mécanisme est la déglutition du sang d’origine nasale.","Medium"
"Pourquoi l’examen de l’oropharynx est-il important dans l’épistaxis ?","Pour vérifier les dents","Pour rechercher un écoulement sanguin postérieur","Pour mesurer l’ouverture buccale","Pour palper les amygdales","2","Le document indique : Examen de l’oropharynx : recherche un écoulement sanguin postérieur. Cela oriente vers une épistaxis postérieure.","Medium"
"Quelle est la relation entre l’insuffisance hépatique (cirrhose) et l’épistaxis ?","Elle augmente le débit sanguin nasal","Elle perturbe le temps de coagulation par déficit en facteurs","Elle fragilise directement les vaisseaux de la cloison","Elle provoque une HTA portale","2","Le document classe l’insuffisance hépatique dans les perturbations du temps de coagulation. La cirrhose diminue la synthèse des facteurs de coagulation.","Medium"
"Pourquoi faut-il éviter l’exposition solaire chez un patient ayant des épistaxis essentielles ?","Parce que le soleil assèche la muqueuse","Parce que les phénomènes vasomoteurs sont favorisés","Parce que la vitamine D augmente","Parce que le soleil dilate les vaisseaux cérébraux","2","Le document indique comme facteurs favorisants de l’épistaxis essentielle : Exposition solaire, phénomènes vasomoteurs.","Medium"
"Pourquoi un patient sous anticoagulant âgé présente-t-il un risque accru d’épistaxis ?","Car ses vaisseaux sont plus résistants","Car un surdosage fréquent majore le risque hémorragique avec des vaisseaux parfois fragiles","Car l’âge diminue l’absorption des anticoagulants","Car le foie est toujours défaillant","2","Le document indique : Traitement anticoagulant : cause fréquente d’épistaxis par surdosage (surtout le sujet âgé). La réponse explique le lien entre surdosage, âge et risque hémorragique.","Medium"
"Quel est l’intérêt de la xylocaïne naphazolinée lors de la rhinoscopie antérieure ?","Uniquement anesthésier","Uniquement vasoconstricteur","Anesthésie locale + vasoconstriction + rétraction muqueuse facilitant l’examen","Antibiotique local","3","Le document précise : Xylocaïne naphazolinée 5% (entraîne une rétraction muqueuse, pouvoir anesthésique et hémostatique).","Medium"
"L’hémophilie provoque une épistaxis en perturbant :","Le temps vasculaire","Le temps plaquettaire","Le temps de coagulation","La fibrinoformation uniquement","3","Le document classe l’hémophilie dans les épistaxis d’origine générale par perturbation du temps de coagulation.","Medium"
"Pourquoi une rhinosinusite aiguë peut-elle provoquer une épistaxis ?","Par destruction directe de l’artère sphénopalatine","Par inflammation et hyperhémie de la muqueuse nasale fragilisant les vaisseaux","Par érosion osseuse","Par thrombose veineuse","2","Le document classe les rhinosinusites aiguës dans les causes locales infectieuses et inflammatoires. L’inflammation fragilise la muqueuse richement vascularisée.","Medium"
"Dans l’épistaxis maligne par abondance, quel signe d’altération de l’état général est décrit ?","Faciès pâle, angoissé, couvert de sueur, pouls rapide, TA abaissée","Faciès rouge, hypertension artérielle","Fièvre élevée et frissons","Douleur thoracique","1","Le document décrit : AEG : faciès pâle, angoissé, couvert de sueur, pouls rapide, TA abaissée.","Medium"
"Pourquoi la pose de deux voies veineuses de gros calibre est-elle un geste d’urgence dans l’épistaxis grave ?","Pour perfuser deux antibiotiques différents","Pour permettre une expansion volémique rapide et une transfusion si nécessaire","Pour prélever des gaz du sang","Pour injecter des corticoïdes","2","Le document indique : Poser 2 VV de gros calibre, puis perfusion de solutés macromoléculaires en attendant le sang commandé.","Medium"
"Quel est le risque principal de décompensation des tares associées lors d’une épistaxis maligne ?","L’aggravation d’une pathologie préexistante comme l’insuffisance cardiaque ou rénale","La surinfection pulmonaire","La thrombose veineuse profonde","La paralysie faciale","1","Le document indique : Risque de décompensation de tares associées. Toute hémorragie peut décompenser une pathologie chronique sous-jacente.","Medium"
"Pourquoi le méchage antérieur bilatéral nécessite-t-il une couverture antibiotique ?","Parce que les mèches sont septiques","Pour prévenir une sinusite ou une infection secondaire liée aux corps étrangers","Parce que le patient est immunodéprimé","Pour traiter l’HTA","2","Le document indique : bilatéral, au moins 48h avec couverture antibiotique. Les mèches nasales sont des corps étrangers pouvant induire une infection.","Medium"
"Quel est l’intérêt de rechercher des signes d’imprégnation éthylique chronique chez un patient avec épistaxis ?","Car l’alcool dilate les vaisseaux","Car l’éthylisme chronique est associé à une cirrhose et des troubles de la coagulation","Car l’alcool diminue les plaquettes","Car l’alcool augmente la TA","2","Le document mentionne : Signes d’imprégnation éthylique chronique (~signes de cirrhose). La cirrhose perturbe la coagulation.","Medium"
"L’ulcère de la cloison chez le toxicomane sniff est classé dans quelle catégorie étiologique ?","Traumatique","Infectieuse et inflammatoire","Tumorale bénigne","Générale","2","Le document classe l’ulcère de la cloison (toxicomane sniff) dans les épistaxis d’origine locale, infectieuses et inflammatoires.","Medium"
"L’hémangiopéricytome est une tumeur :","Maligne très hémorragique","Bénigne","Infectieuse","Traumatique","2","Le document classe l’hémangiopéricytome dans les tumeurs bénignes.","Medium"
"Pourquoi l’HTA est-elle une cause d’épistaxis d’origine générale ?","Par rupture directe d’un anévrisme","Par augmentation de la pression intravasculaire fragilisant les vaisseaux de la muqueuse nasale","Par épaississement sanguin","Par vasodilatation excessive","2","Le document classe l’HTA dans les pathologies vasculo-tensionnelles. L’hypertension augmente le stress parietal sur les vaisseaux fragiles.","Medium"
"Pourquoi faut-il assurer l’hémostase par escalade thérapeutique ?","Pour commencer par le geste le plus invasif","Pour adapter le geste à la gravité, du plus simple au plus complexe","Pour économiser les mèches","Pour éviter l’hospitalisation","2","Le document liste l’escalade thérapeutique comme une progression logique : compression bidigitale, puis tamponnement antérieur, etc.","Medium"
"Quel est le risque si on ne traite pas l’étiologie après une épistaxis ?","L’épistaxis récidivera","Le patient deviendra immunodéprimé","Les mèches seront inefficaces","La TA diminuera trop","1","Le document indique : Eviter la reproduction de l’épistaxis : Traiter l’étiologie.","Medium"
"Un patient présente une épistaxis en goutte à goutte unilatérale sans retentissement général. Selon le document, comment qualifiez-vous cette épistaxis ?","Maligne par abondance","Maligne par répétition","Bénigne","Essentielle","3","Le document décrit l’épistaxis bénigne : unilatérale, abondance minime en goutte à goutte, aucun retentissement sur l’état général.","Medium"
"Pourquoi la recherche d’adénopathies satellites est-elle importante dans l’examen cervical ?","Car elles indiquent une infection locale","Car elles peuvent orienter vers une tumeur maligne ORL avec épistaxis","Car elles sont toujours bénignes","Car elles expliquent l’HTA","2","Le document mentionne : Examen cervical : purpura, adénopathies satellites. Des adénopathies peuvent orienter vers un cancer du cavum ou des fosses nasales.","Medium"
"Un patient cirrhotique consulte pour une épistaxis modérée mais qui récidive depuis 3 jours. Quel est le mécanisme principal aggravant ?","L’HTA portale","Le déficit en facteurs de coagulation lié à l’insuffisance hépatique","La thrombopénie par hypersplénisme","Tous les mécanismes cités","4","Le document classe l’insuffisance hépatique dans les perturbations du temps de coagulation. En pratique, la cirrhose associe déficit en facteurs et parfois thrombopénie.","Difficult"
"Un patient présente une épistaxis postérieure à bas bruit persistante depuis 48h, sans hémorragie extériorisée par le nez. Il vomit des caillots. Quel diagnostic différentiel faut-il éliminer en urgence ?","Hémoptysie","Hématémèse","Hématurie","Méléna","2","Le document indique : Peut vomir des caillots de sang faisant évoquer à tort une hématémèse. L’épistaxis postérieure dégluti peut mimer une hématémèse.","Difficult"
"Un patient de 13 ans, de sexe masculin, présente une épistaxis cataclysmique sans traumatisme. La rhinoscopie montre une masse rougeâtre dans le cavum. Quelle est l’étiologie la plus probable selon le document ?","Angiofibrome de la cloison","Fibrome nasopharyngé","Hémangiopéricytome","Granulome malin de la face","2","Le document précise : Fibrome nasopharyngé (surtout ado, 12 ans - 13 ans, prédominance masculine, très hémorragique).","Difficult"
"Un patient sous anticoagulant âgé de 80 ans a une épistaxis qui persiste après compression bidigitale et méchage antérieur. Le bilan biologique montre un INR à 5,5. Quelle est la prise en charge prioritaire spécifique selon les principes du document ?","Transfuser immédiatement des concentrés globulaires","Corriger le surdosage en anticoagulant en plus des gestes locaux","Poser un tamponnement postérieur","Faire une embolisation","2","Le document indique que le surdosage en anticoagulant est une cause fréquente chez le sujet âgé. La prise en charge doit traiter la cause générale (correction du surdosage) et l’hémostase locale.","Difficult"
"Un patient présente une épistaxis grave avec Hb à 7,5 g/dL, TA à 80/50 mmHg, pouls à 120/min. Selon les gestes d’urgence décrits, quel est l’ordre logique des actions ?","Transfusion d’abord, puis perfusion de macromolécules, puis tamponnement","Perfusion de macromolécules en attendant le sang commandé + transfusion si Hb < 8 g/dL + tamponnement immédiat","Tamponnement seul, puis transfusion à la sortie","Perfusion de macromolécules seulement","2","Le document indique : 1. Tamponnement immédiat, 2. Hospitalisation USI, 3. Pose de VV, 4. Perfusion de macromolécules en attendant le sang commandé, 5. Transfusion si Hb < 8 g/dL.","Difficult"
"Pourquoi l’épistaxie essentielle (maladie) ne doit-elle être qu’un diagnostic d’élimination ?","Parce qu’elle est toujours mortelle","Parce que les causes locales ou générales sont fréquentes et doivent être recherchées avant de conclure à une absence de cause","Parce qu’elle est réservée aux enfants","Parce qu’elle n’existe pas","2","Le document indique : Ne doit être qu’un diagnostic d’élimination. En médecine, un diagnostic d’élimination ne se pose qu’après avoir exclu toutes les autres causes.","Difficult"
"Quel enchaînement physiopathologique explique qu’une épistaxis postérieure à bas bruit non reconnue puisse conduire à une anémie sévère puis une décompensation cardiaque chez un coronarien ?","Saignement occulte → déglobulisation progressive → anémie → tachycardie et demande en O2 ↑ → ischémie myocardique","Le patient tousse → rupture de plaque d’athérome → infarctus","Le sang dégluti → ulcère gastrique → hémorragie digestive","Le tamponnement → vasovagal → choc","1","Le document mentionne : Persistante : écoulement postérieur à bas bruit, Déperdition sanguine importante, Risque de décompensation de tares associées. Une anémie chronique peut décompenser une coronaropathie.","Difficult"
"Quelle est la différence fondamentale entre une épistaxis antérieure et postérieure dans la stratégie thérapeutique ?","L’antérieure est toujours bénigne, la postérieure toujours maligne","L’antérieure peut être traitée par compression bidigitale ou méchage antérieur, la postérieure nécessite souvent un tamponnement postérieur ou une coagulation","La postérieure répond mieux à la compression bidigitale","L’antérieure nécessite une embolisation","2","Le document distingue dans l’escalade thérapeutique : tamponnement antérieur puis tamponnement postérieur. L’épistaxis postérieure est plus difficile à contrôler par voie antérieure seule.","Difficult"
"Un patient avec maladie de Rendu-Osler se présente pour une 10e épistaxis du mois. Malgré un méchage antérieur, le saignement postérieur persiste à bas bruit. Pourquoi ce terrain est-il particulièrement à risque de complications ?","Car les malformations vasculaires sont diffuses, récidivantes et peuvent nécessiter des gestes répétés avec risque iatrogène","Car ils sont tous immunodéprimés","Car ils ont une cirrhose associée","Car ils sont toujours transfusés","1","Le document mentionne la maladie de Rendu-Osler comme angiomatose hémorragique familiale (atteinte vasculaire diffuse). Les récidives fréquentes imposent une prise en charge spécialisée.","Difficult"
"Un patient consulte pour épistaxis récidivante. À la rhinoscopie, vous visualisez une tumeur ulcérée du cavum. Quel est le risque immédiat et le risque à distance ?","Risque immédiat : hémorragie cataclysmique ; risque à distance : métastases","Risque immédiat : obstruction nasale ; risque à distance : guérison","Risque immédiat : infection ; risque à distance : sinusite","Risque immédiat : anosmie ; risque à distance : otite","1","Le document mentionne les tumeurs malignes du cavum comme très hémorragiques. Le risque immédiat est hémorragique, le risque à distance est évolutif (cancer).","Difficult"